Youtuber,subscribers,video views,category,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,created_year,created_month,created_date,Population,Latitude,Longitude
T-Series,245000000,228000000000,Music,20082,India,IN,Music,1,1,1,2258000000,564600.0,9000000.0,6800000.0,108400000.0,2006,Mar,13,1366417754,20.593684,78.96288
YouTube Movies,170000000,0,Film & Animation,1,United States,US,Games,4055159,7670,7423,12,0.0,0.05,0.04,0.58,2006,Mar,5,328239523,37.09024,-95.712891
MrBeast,166000000,28368841870,Entertainment,741,United States,US,Entertainment,48,1,1,1348000000,337000.0,5400000.0,4000000.0,64700000.0,2012,Feb,20,328239523,37.09024,-95.712891
Cocomelon - Nursery Rhymes,162000000,164000000000,Education,966,United States,US,Education,2,2,1,1975000000,493800.0,7900000.0,5900000.0,94800000.0,2006,Sep,1,328239523,37.09024,-95.712891
SET India,159000000,148000000000,Shows,116536,India,IN,Entertainment,3,2,2,1824000000,455900.0,7300000.0,5500000.0,87500000.0,2006,Sep,20,1366417754,20.593684,78.96288
Music,119000000,0,Entertainment,0,United States,US,Music,4057944,51,66,64085000,0.0,0.0,0.0,0.0,2013,Sep,24,328239523,46.3144754,11.0480288
ýýý Kids Diana Show,112000000,93247040539,People & Blogs,1111,United States,US,Entertainment,5,3,3,731674000,182900.0,2900000.0,2200000.0,35100000.0,2015,May,12,328239523,37.09024,-95.712891
PewDiePie,111000000,29058044447,Gaming,4716,Japan,JP,Entertainment,44,1,4,39184000,9800.0,156700.0,117600.0,1900000.0,2010,Apr,29,126226568,36.204824,138.252924
Like Nastya,106000000,90479060027,People & Blogs,493,Russia,RU,People,630,5,25,48947000,12200.0,195800.0,146800.0,2300000.0,2016,Jan,14,144373535,61.52401,105.318756
Vlad and Niki,98900000,77180169894,Entertainment,574,United States,US,Entertainment,8,5,6,580574000,145100.0,2300000.0,1700000.0,27900000.0,2018,Apr,23,328239523,37.09024,-95.712891
Zee Music Company,96700000,57856289381,Music,8548,India,IN,Music,12,3,2,803613000,200900.0,3200000.0,2400000.0,38600000.0,2014,Mar,12,1366417754,20.593684,78.96288
WWE,96000000,77428473662,Sports,70127,United States,US,Sports,7,6,1,714614000,178700.0,2900000.0,2100000.0,34300000.0,2007,May,11,328239523,37.09024,-95.712891
Gaming,93600000,0,Entertainment,0,United States,US,Games,4057944,51,1,64085000,0.0,0.0,0.0,0.0,2013,Dec,15,328239523,46.3144754,11.0480288
BLACKPINK,89800000,32144597566,People & Blogs,543,South Korea,KR,Music,32,1,3,498930000,124700.0,2000000.0,1500000.0,23900000.0,2016,Jun,29,51709098,35.907757,127.766922
Goldmines,86900000,24118230580,Film & Animation,1,United States,US,Music,4056562,51,5663,18,0.0,0.07,0.05,0.86,2006,Aug,15,328239523,46.3144754,11.0480288
Sony SAB,83000000,101000000000,Shows,71270,India,IN,Entertainment,4,5,7,1657000000,414300.0,6600000.0,5000000.0,79600000.0,2007,Aug,4,1366417754,20.593684,78.96288
5-Minute Crafts,80100000,26236790209,Howto & Style,1,United Kingdom,GB,Entertainment,4057901,4797,6781,1,0.0,0.0,0.0,0.05,2020,Jul,27,66834405,55.378051,-3.435973
BANGTANTV,75600000,20826993957,Music,2281,South Korea,KR,Music,112,2,4,168290000,42100.0,673200.0,504900.0,8100000.0,2012,Dec,17,51709098,35.907757,127.766922
Sports,75000000,0,Entertainment,3,United States,US,Entertainment,3898122,6266,5395,16,0.0,0.06,0.05,0.77,2006,Jan,30,328239523,37.09024,-95.712891
Justin Bieber,71600000,30608119724,Music,249,Canada,CA,Music,38,1,6,176326000,44100.0,705300.0,529000.0,8500000.0,2007,Jan,15,36991981,56.130366,-106.346771
HYBE LABELS,71300000,28634566938,Music,1337,South Korea,KR,Music,46,3,5,598173000,149500.0,2400000.0,1800000.0,28700000.0,2008,Jun,4,51709098,35.907757,127.766922
Zee TV,70500000,73139054467,Entertainment,129204,India,IN,Entertainment,9,6,8,1707000000,426800.0,6800000.0,5100000.0,81900000.0,2005,Dec,11,1366417754,20.593684,78.96288
Pinkfong Baby Shark - Kids' Songs & Stories,68200000,38843229963,Education,2865,United States,US,Education,23,8,2,473387000,118300.0,1900000.0,1400000.0,22700000.0,2011,Dec,14,328239523,37.09024,-95.712891
Canal KondZilla,66500000,36775585925,Music,2572,Brazil,BR,Music,25,1,7,447223000,0.0,0.0,0.0,0.0,2012,Mar,21,212559417,-14.235004,-51.92528
ChuChu TV Nursery Rhymes & Kids Songs,65900000,45757850229,Education,633,India,IN,Education,18,7,3,420292000,105100.0,1700000.0,1300000.0,20200000.0,2013,Feb,9,1366417754,20.593684,78.96288
Shemaroo Filmi Gaane,65600000,28648024439,Music,8502,India,IN,Music,47,8,8,254961000,63700.0,1000000.0,764900.0,12200000.0,2010,Jun,11,1366417754,20.593684,78.96288
Colors TV,64600000,61510906457,Shows,112915,India,IN,Entertainment,10,9,9,1188000000,296900.0,4800000.0,3600000.0,57000000.0,2008,Jun,13,1366417754,20.593684,78.96288
T-Series Bhakti Sagar,61000000,29533230328,Music,13,India,IN,Music,4053938,5803,5744,10,0.0,0.04,0.03,0.48,2018,Aug,3,1366417754,20.593684,78.96288
Dude Perfect,59500000,16241549158,Sports,389,United States,US,Sports,182,9,3,141200000,35300.0,564800.0,423600.0,6800000.0,2009,Mar,17,328239523,37.09024,-95.712891
Movieclips,59500000,59316472754,Film & Animation,39113,United States,US,Film,11,9,3,114668000,28700.0,458700.0,344000.0,5500000.0,2006,Apr,28,328239523,37.09024,-95.712891
Tips Official,59300000,33431802698,Music,4741,India,IN,Music,30,11,10,422634000,105700.0,1700000.0,1300000.0,20300000.0,2007,May,22,1366417754,20.593684,78.96288
El Reino Infantil,58400000,57271630846,Music,1510,Argentina,AR,Music,13,1,11,611828000,153000.0,2400000.0,1800000.0,29400000.0,2011,Jun,2,44938712,-38.416097,-63.616672
Wave Music,58000000,40602020243,Music,19487,India,IN,Music,21,12,12,232025000,58000.0,928100.0,696100.0,11100000.0,2014,Oct,29,1366417754,20.593684,78.96288
Aaj Tak,57600000,25307753534,News & Politics,283775,India,IN,News,71,13,1,461148000,115300.0,1800000.0,1400000.0,22100000.0,2009,Aug,27,1366417754,20.593684,78.96288
Sony Music India,57200000,28837144516,Music,3882,India,IN,Music,45,14,13,259310000,64800.0,1000000.0,777900.0,12400000.0,2009,Sep,2,1366417754,20.593684,78.96288
EminemMusic,56900000,27073872856,Music,156,United States,US,Music,59,10,14,260193000,65000.0,1000000.0,780600.0,12500000.0,2007,Feb,9,328239523,37.09024,-95.712891
Marshmello,56400000,14696003229,Entertainment,436,United States,US,Music,233,11,15,112100000,28000.0,448400.0,336300.0,5400000.0,2015,Apr,6,328239523,37.09024,-95.712891
YRF,54600000,35302243691,Film & Animation,3707,India,IN,Music,28,15,16,512093000,128000.0,2000000.0,1500000.0,24600000.0,2006,Jun,7,1366417754,20.593684,78.96288
LooLoo Kids - Nursery Rhymes and Children's Songs,54000000,32312431239,Music,11,United States,US,Entertainment,3800129,51,66,159,0.04,0.64,0.48,8.0,2016,Nov,29,328239523,46.3144754,11.0480288
Ed Sheeran,53500000,30367676736,Music,383,United Kingdom,GB,Music,39,1,18,202720000,50700.0,810900.0,608200.0,9700000.0,2006,Aug,8,66834405,55.378051,-3.435973
Infobells - Hindi,53300000,30516172739,Education,577,India,IN,Education,37,16,4,815949000,204000.0,3300000.0,2400000.0,39200000.0,2014,Jun,6,1366417754,20.593684,78.96288
Taylor Swift,52900000,29884657286,Music,216,United States,US,Music,40,13,19,528392000,132100.0,2100000.0,1600000.0,25400000.0,2006,Sep,20,328239523,37.09024,-95.712891
Ariana Grande,52700000,24004842608,Music,147,United States,US,Music,78,14,20,160216000,40100.0,640900.0,480600.0,7700000.0,2007,Jan,22,328239523,37.09024,-95.712891
BillionSurpriseToys  - Nursery Rhymes & Cartoons,52200000,9877365274,Education,847,United States,US,Education,450,15,5,266747000,66700.0,1100000.0,800200.0,12800000.0,2013,Oct,25,328239523,37.09024,-95.712891
JuegaGerman,48100000,14631710289,Gaming,2052,Chile,CL,Games,237,1,2,66388000,16600.0,265600.0,199200.0,3200000.0,2013,May,19,18952038,-35.675147,-71.542969
Billie Eilish,47900000,13626331061,Music,65,United States,US,Music,263,16,21,146862000,36700.0,587400.0,440600.0,7000000.0,2013,Feb,6,328239523,37.09024,-95.712891
Get Movies,47500000,30788679536,Entertainment,3322,Russia,RU,Film,35,1,4,306540000,76600.0,1200000.0,919600.0,14700000.0,2006,Dec,16,144373535,61.52401,105.318756
Shemaroo,47400000,22519705183,Entertainment,11451,India,IN,Entertainment,97,17,10,232744000,58200.0,931000.0,698200.0,11200000.0,2007,Sep,1,1366417754,20.593684,78.96288
Badabun,46800000,19398045702,Entertainment,1,United States,US,Music,4047729,51,5525,440,0.11,2.0,1.0,21.0,2007,Jul,21,328239523,46.3144754,11.0480288
SonyMusicIndiaVEVO,46600000,27286058807,Music,3444,United States,US,Music,55,17,22,314505000,78600.0,1300000.0,943500.0,15100000.0,2009,Sep,2,328239523,37.09024,-95.712891
A4,46300000,22936630813,Gaming,1,Cuba,CU,People,4053056,99,5359,94,0.02,0.38,0.28,5.0,2006,Mar,11,11333483,21.521757,-77.781167
Bad Bunny,46100000,30686342319,Music,1,United States,US,Sports,4046070,51,4501,1,0.0,0.0,0.0,0.05,2005,Nov,15,328239523,46.3144754,11.0480288
Fernanfloo,46100000,10323391593,Gaming,543,El Salvador,SV,Games,419,1,3,33842000,8500.0,135400.0,101500.0,1600000.0,2011,May,2,6453553,13.794185,-88.89653
Voot Kids,45500000,21388725229,Entertainment,4660,India,IN,Entertainment,105,18,13,233988000,58500.0,936000.0,702000.0,11200000.0,2016,Nov,23,1366417754,20.593684,78.96288
Felipe Neto,45200000,16602198273,Entertainment,4331,Brazil,BR,Entertainment,174,2,14,130359000,32600.0,521400.0,391100.0,6300000.0,2006,May,16,212559417,-14.235004,-51.92528
Vocï¿½ï¿½ï¿½,44700000,7828610828,Entertainment,1558,Brazil,BR,Entertainment,681,3,15,48032000,12000.0,192100.0,144100.0,2300000.0,2013,Sep,1,212559417,-14.235004,-51.92528
HAR PAL GEO,44600000,41139050371,Entertainment,100755,Pakistan,PK,Entertainment,20,1,15,1337000000,334300.0,5300000.0,4000000.0,64200000.0,2008,Jan,2,216565318,30.375321,69.345116
BRIGHT SIDE,44500000,10708531817,Howto & Style,0,United States,US,Entertainment,4057944,51,66,64085000,0.0,0.0,0.0,0.0,2005,Nov,18,328239523,46.3144754,11.0480288
Katy Perry,44200000,25458952022,Music,128,United States,US,Music,70,19,24,134242000,33600.0,537000.0,402700.0,6400000.0,2008,Jun,1,328239523,37.09024,-95.712891
whinderssonnunes,44200000,4274709210,Comedy,558,Brazil,BR,Comedy,1741,4,1,26683000,6700.0,106700.0,80100.0,1300000.0,2013,Jan,21,212559417,-14.235004,-51.92528
ABS-CBN Entertainment,44200000,50292540392,People & Blogs,193890,Philippines,PH,Entertainment,16,1,16,176629000,44200.0,706500.0,529900.0,8500000.0,2008,Jul,16,108116615,12.879721,121.774017
Alan Walker,43700000,12884264778,Music,8,Thailand,TH,Film,4056116,4026,5270,22,0.01,0.09,0.07,1.0,2006,May,12,69625582,15.870032,100.992541
HolaSoyGerman.,43600000,4831311245,Entertainment,6,United States,US,People,4047806,51,7716,4,0.0,0.02,0.01,0.19,2016,May,27,328239523,46.3144754,11.0480288
Shakira,43500000,27568757295,People & Blogs,326,Colombia,CO,Howto,52,1,3,353412000,88400.0,1400000.0,1100000.0,17000000.0,2005,Oct,16,50339443,4.570868,-74.297333
ýýýýýýýý ýý ýýýýýýýýýýýýýý,43200000,36458726976,Film & Animation,1478,Russia,RU,Education,26,2,6,303780000,75900.0,1200000.0,911300.0,14600000.0,2011,May,31,144373535,61.52401,105.318756
ARY Digital HD,43200000,37939780685,Entertainment,109871,Pakistan,PK,Entertainment,24,2,18,1149000000,287300.0,4600000.0,3400000.0,55200000.0,2016,Jul,11,216565318,30.375321,69.345116
Speed Records,42500000,26820902622,Music,10938,India,IN,Music,62,19,26,159757000,39900.0,639000.0,479300.0,7700000.0,2012,Nov,22,1366417754,20.593684,78.96288
Masha and The Bear,42400000,24519022988,Shows,1218,United States,US,Film,74,20,5,670459000,167600.0,2700000.0,2000000.0,32200000.0,2014,Sep,17,328239523,37.09024,-95.712891
Like Nastya Show,42400000,19547696190,Entertainment,618,United States,US,Entertainment,128,21,19,53202000,13300.0,212800.0,159600.0,2600000.0,2017,Nov,14,328239523,37.09024,-95.712891
Rihanna,41900000,22477745835,Entertainment,84,Barbados,BB,Music,98,1,27,182926000,45700.0,731700.0,548800.0,8800000.0,2005,Nov,6,287025,13.193887,-59.543198
Ishtar Music,41400000,17608931161,Trailers,4510,India,IN,Music,155,20,28,180942000,45200.0,723800.0,542800.0,8700000.0,2005,Sep,22,1366417754,20.593684,78.96288
Kimberly Loaiza,41300000,5603111948,People & Blogs,291,Mexico,MX,People,1157,2,1,136745000,34200.0,547000.0,410200.0,6600000.0,2016,Nov,16,126014024,23.634501,-102.552784
Little Baby Bum - Nursery Rhymes & Kids Songs,40900000,39450824833,Education,2423,United States,US,Education,22,22,7,98775000,24700.0,395100.0,296300.0,4700000.0,2011,Jun,22,328239523,37.09024,-95.712891
Luisito Comunica,40600000,8670473639,Comedy,0,Mexico,MX,Comedy,3612215,3021,66,64085000,0.0,0.0,0.0,0.0,2010,Jun,18,126014024,23.634501,-102.552784
elrubiusOMG,40400000,7410536668,Gaming,703,United States,US,Entertainment,756,51,21,5773000,1400.0,23100.0,17300.0,277100.0,2011,Dec,20,328239523,46.3144754,11.0480288
Toys and Colors,40300000,47005053156,Entertainment,4,United States,US,People,3989650,51,7330,5,0.0,0.02,0.02,0.24,2018,Jun,14,328239523,46.3144754,11.0480288
